============= Dilithium-III
[0m[1;31m     LWE instance generation    [0m
n=1280	m=1536	q=8380417
dim = 2654, m = 1373, dvol = 19371.02384334926, β = 623.6116
Generate gs-lengths by GSA assumption...enumbs min_G_prec = 0.001
 Attack Estimation via simulation + probabilistic model (EnumBS in parallel)
v1. beta_start= 50, gap = 1, J = 100, J_gap = 3, cost_model = 1, max_loop = 1, threads = 60, G_prec = 1.000000e-03,  slope_prec = 1.000000e-04,  progressive_sieve = True, worst_case = 0, succ_prob = 0.999, Find minimal time cost strategy, average_case, theo_pnjbkz_d4f = 2, theo_pump_d4f = 2, list_decoding = `matzov22`. 
 index:        2, (  57,   4): (  50, 100) --> (1499,   1), goal index:     1363, cost = 
 index:     9224, ( 145,   4): ( 135, 100) --> (1499,   1), goal index:    10557, cost = 
 index:     9225, ( 146,   4): ( 136, 100) --> (1499,   1), goal index:    10580, cost = 
 index:     9226, ( 145,   4): ( 135, 100) --> (1499,   1), goal index:    10598, cost = 
 index:     9227, ( 145,   4): ( 135, 100) --> (1499,   1), goal index:    10597, cost = 
 index:     9228, ( 146,   4): ( 136, 100) --> (1499,   1), goal index:    10539, cost = 
 index:     9229, ( 146,   4): ( 136, 100) --> (1499,   1), goal index:    10567, cost = 
 index:     9230, ( 146,   4): ( 136, 100) --> (1499,   1), goal index:    10541, cost = 
 index:     9231, ( 146,   4): ( 136, 100) --> (1499,   1), goal index:    10548, cost = 
 index:     9232, ( 146,   4): ( 136, 100) --> (1499,   1), goal index:    10551, cost = 
 index:     9233, ( 146,   4): ( 136, 100) --> (1499,   1), goal index:    10559, cost = 
 index:     9234, ( 146,   4): ( 136, 100) --> (1499,   1), goal index:    10553, cost = 
 index:     9235, ( 146,   4): ( 136, 100) --> (1499,   1), goal index:    10556, cost = 
 index:     9236, ( 146,   4): ( 136, 100) --> (1499,   1), goal index:    10571, cost = 
 index:     9237, ( 146,   4): ( 136, 100) --> (1499,   1), goal index:    10573, cost = 
 index:     9238, ( 146,   4): ( 136, 100) --> (1499,   1), goal index:    10574, cost = 
 index:     9239, ( 146,   4): ( 136, 100) --> (1499,   1), goal index:    10591, cost = 
 index:     9240, ( 146,   4): ( 136, 100) --> (1499,   1), goal index:    10593, cost = 
 index:     9241, ( 146,   4): ( 136, 100) --> (1499,   1), goal index:    10609, cost = 
 index:     9242, ( 146,   4): ( 136, 100) --> (1499,   1), goal index:    10594, cost = 
 index:     9243, ( 146,   4): ( 136, 100) --> (1499,   1), goal index:    10554, cost = 
 index:     9244, ( 146,   4): ( 136, 100) --> (1499,   1), goal index:    10555, cost = 
 index:     9245, ( 146,   4): ( 136, 100) --> (1499,   1), goal index:    10579, cost = 
 index:     9246, ( 146,   4): ( 136, 100) --> (1499,   1), goal index:    10558, cost = 
 index:     9247, ( 146,   4): ( 136, 100) --> (1499,   1), goal index:    10557, cost = 
 index:     9248, ( 146,   4): ( 136, 100) --> (1499,   1), goal index:    10574, cost = 
 index:     9249, ( 146,   4): ( 136, 100) --> (1499,   1), goal index:    10559, cost = 
 index:     9250, ( 146,   4): ( 136, 100) --> (1499,   1), goal index:    10574, cost = 
 index:     9251, ( 146,   4): ( 136, 100) --> (1499,   1), goal index:    10590, cost = 
 index:     9252, ( 146,   4): ( 136, 100) --> (1499,   1), goal index:    10589, cost = 
 index:     9253, ( 146,   4): ( 136, 100) --> (1499,   1), goal index:    10604, cost = 
 index:     9254, ( 146,   4): ( 136, 100) --> (1499,   1), goal index:    10624, cost = 
 index:     9255, ( 146,   4): ( 136, 100) --> (1499,   1), goal index:    10639, cost = 
 index:     9256, ( 146,   4): ( 136, 100) --> (1499,   1), goal index:    10651, cost = 
 index:     9257, ( 146,   4): ( 136, 100) --> (1499,   1), goal index:    10628, cost = 
 index:     9258, ( 146,   4): ( 136, 100) --> (1499,   1), goal index:    10565, cost = 
 index:     9259, ( 146,   4): ( 136, 100) --> (1499,   1), goal index:    10587, cost = 
 index:     9260, ( 146,   4): ( 136, 100) --> (1499,   1), goal index:    10610, cost = 
 index:     9261, ( 146,   4): ( 136, 100) --> (1499,   1), goal index:    10628, cost = 
 index:     9262, ( 146,   4): ( 136, 100) --> (1499,   1), goal index:    10569, cost = 
 index:     9263, ( 146,   4): ( 136, 100) --> (1499,   1), goal index:    10597, cost = 
 index:     9264, ( 146,   4): ( 136, 100) --> (1499,   1), goal index:    10571, cost = 
 index:     9265, ( 146,   4): ( 136, 100) --> (1499,   1), goal index:    10577, cost = 
 index:     9266, ( 146,   4): ( 136, 100) --> (1499,   1), goal index:    10577, cost = 
 index:     9267, ( 146,   4): ( 136, 100) --> (1499,   1), goal index:    10585, cost = 
 index:     9268, ( 146,   4): ( 136, 100) --> (1499,   1), goal index:    10581, cost = 
 index:     9269, ( 146,   4): ( 136, 100) --> (1499,   1), goal index:    10581, cost = 
 index:     9270, ( 146,   4): ( 136, 100) --> (1499,   1), goal index:    10595, cost = 
 index:     9271, ( 146,   4): ( 136, 100) --> (1499,   1), goal index:    10596, cost = 
 index:     9272, ( 146,   4): ( 136, 100) --> (1499,   1), goal index:    10595, cost = 
 index:     9273, ( 146,   4): ( 136, 100) --> (1499,   1), goal index:    10611, cost = 
 index:     9274, ( 146,   4): ( 136, 100) --> (1499,   1), goal index:    10611, cost = 
 index:     9275, ( 146,   4): ( 136, 100) --> (1499,   1), goal index:    10626, cost = 
 index:     9276, ( 146,   4): ( 136, 100) --> (1499,   1), goal index:    10613, cost = 
 index:     9277, ( 146,   4): ( 136, 100) --> (1499,   1), goal index:    10581, cost = 
 index:     9278, ( 146,   4): ( 136, 100) --> (1499,   1), goal index:    10582, cost = 
 index:     9279, ( 146,   4): ( 136, 100) --> (1499,   1), goal index:    10605, cost = 
 index:     9280, ( 146,   4): ( 136, 100) --> (1499,   1), goal index:    10584, cost = 
 index:     9281, ( 146,   4): ( 136, 100) --> (1499,   1), goal index:    10586, cost = 
 index:     9282, ( 146,   4): ( 136, 100) --> (1499,   1), goal index:    10599, cost = 
 index:     9283, ( 146,   4): ( 136, 100) --> (1499,   1), goal index:    10615, cost = 
 index:     9284, ( 146,   4): ( 136, 100) --> (1499,   1), goal index:    10628, cost = 
 index:     9285, ( 146,   4): ( 136, 100) --> (1499,   1), goal index:    10647, cost = 
 index:     9286, ( 146,   4): ( 136, 100) --> (1499,   1), goal index:    10660, cost = 
 index:     9287, ( 146,   4): ( 136, 100) --> (1499,   1), goal index:    10651, cost = 
 index:     9288, ( 146,   4): ( 136, 100) --> (1499,   1), goal index:    10592, cost = 
 index:     9289, ( 146,   4): ( 136, 100) --> (1499,   1), goal index:    10613, cost = 
 index:     9290, ( 146,   4): ( 136, 100) --> (1499,   1), goal index:    10635, cost = 
 index:     9291, ( 146,   4): ( 136, 100) --> (1499,   1), goal index:    10652, cost = 
 index:     9292, ( 146,   4): ( 136, 100) --> (1499,   1), goal index:    10596, cost = 
 index:     9293, ( 146,   4): ( 136, 100) --> (1499,   1), goal index:    10623, cost = 
 index:     9294, ( 146,   4): ( 136, 100) --> (1499,   1), goal index:    10598, cost = 
 index:     9295, ( 146,   4): ( 136, 100) --> (1499,   1), goal index:    10611, cost = 
 index:     9296, ( 147,   4): ( 137, 100) --> (1499,   1), goal index:    10611, cost = 
 index:     9297, ( 147,   4): ( 137, 100) --> (1499,   1), goal index:    10638, cost = 
 index:     9298, ( 147,   4): ( 137, 100) --> (1499,   1), goal index:    10639, cost = 
 index:     9299, ( 147,   4): ( 137, 100) --> (1499,   1), goal index:    10618, cost = 
 index:     9300, ( 147,   4): ( 137, 100) --> (1499,   1), goal index:    10633, cost = 
 index:     9301, ( 147,   4): ( 137, 100) --> (1499,   1), goal index:    10633, cost = 
 index:     9302, ( 147,   4): ( 137, 100) --> (1499,   1), goal index:    10651, cost = 
 index:     9303, ( 147,   4): ( 137, 100) --> (1499,   1), goal index:    10665, cost = 
 index:     9304, ( 147,   4): ( 137, 100) --> (1499,   1), goal index:    10641, cost = 
 index:     9305, ( 147,   4): ( 137, 100) --> (1499,   1), goal index:    10609, cost = 
 index:     9306, ( 147,   4): ( 137, 100) --> (1499,   1), goal index:    10610, cost = 
 index:     9307, ( 147,   4): ( 137, 100) --> (1499,   1), goal index:    10633, cost = 
 index:     9308, ( 147,   4): ( 137, 100) --> (1499,   1), goal index:    10612, cost = 
 index:     9309, ( 147,   4): ( 137, 100) --> (1499,   1), goal index:    10614, cost = 
 index:     9310, ( 147,   4): ( 137, 100) --> (1499,   1), goal index:    10627, cost = 
 index:     9311, ( 147,   4): ( 137, 100) --> (1499,   1), goal index:    10643, cost = 
 index:     9312, ( 147,   4): ( 137, 100) --> (1499,   1), goal index:    10656, cost = 
 index:     9313, ( 147,   4): ( 137, 100) --> (1499,   1), goal index:    10675, cost = 
 index:     9314, ( 147,   4): ( 137, 100) --> (1499,   1), goal index:    10688, cost = 
 index:     9315, ( 147,   4): ( 137, 100) --> (1499,   1), goal index:    10679, cost = 
 index:     9316, ( 147,   4): ( 137, 100) --> (1499,   1), goal index:    10620, cost = 
 index:     9317, ( 147,   4): ( 137, 100) --> (1499,   1), goal index:    10641, cost = 
 index:     9318, ( 147,   4): ( 137, 100) --> (1499,   1), goal index:    10663, cost = 
 index:     9319, ( 147,   4): ( 137, 100) --> (1499,   1), goal index:    10680, cost = 
 index:     9320, ( 147,   4): ( 137, 100) --> (1499,   1), goal index:    10624, cost = 
 index:     9321, ( 147,   4): ( 137, 100) --> (1499,   1), goal index:    10651, cost = 
 index:     9322, ( 147,   4): ( 137, 100) --> (1499,   1), goal index:    10626, cost = 
 index:     9323, ( 147,   4): ( 137, 100) --> (1499,   1), goal index:    10638, cost = 
 index:     9324, ( 147,   4): ( 137, 100) --> (1499,   1), goal index:    10638, cost = 
 index:     9325, ( 147,   4): ( 137, 100) --> (1499,   1), goal index:    10665, cost = 
 index:     9326, ( 147,   4): ( 137, 100) --> (1499,   1), goal index:    10666, cost = 
 index:     9327, ( 147,   4): ( 137, 100) --> (1499,   1), goal index:    10645, cost = 
 index:     9328, ( 147,   4): ( 137, 100) --> (1499,   1), goal index:    10659, cost = 
 index:     9329, ( 147,   4): ( 137, 100) --> (1499,   1), goal index:    10660, cost = 
 index:     9330, ( 147,   4): ( 137, 100) --> (1499,   1), goal index:    10676, cost = 
 index:     9331, ( 147,   4): ( 137, 100) --> (1499,   1), goal index:    10690, cost = 
 index:     9332, ( 147,   4): ( 137, 100) --> (1499,   1), goal index:    10669, cost = 
 index:     9333, ( 147,   4): ( 137, 100) --> (1499,   1), goal index:    10640, cost = 
 index:     9334, ( 147,   4): ( 137, 100) --> (1499,   1), goal index:    10640, cost = 
 index:     9335, ( 147,   4): ( 137, 100) --> (1499,   1), goal index:    10662, cost = 
 index:     9336, ( 147,   4): ( 137, 100) --> (1499,   1), goal index:    10642, cost = 
 index:     9337, ( 147,   4): ( 137, 100) --> (1499,   1), goal index:    10644, cost = 
 index:     9338, ( 147,   4): ( 137, 100) --> (1499,   1), goal index:    10656, cost = 
 index:     9339, ( 147,   4): ( 137, 100) --> (1499,   1), goal index:    10671, cost = 
 index:     9340, ( 147,   4): ( 137, 100) --> (1499,   1), goal index:    10683, cost = 
 index:     9341, ( 147,   4): ( 137, 100) --> (1499,   1), goal index:    10701, cost = 
 index:     9342, ( 147,   4): ( 137, 100) --> (1499,   1), goal index:    10713, cost = 
 index:     9343, ( 147,   4): ( 137, 100) --> (1499,   1), goal index:    10705, cost = 
 index:     9344, ( 147,   4): ( 137, 100) --> (1499,   1), goal index:    10650, cost = 
 index:     9345, ( 147,   4): ( 137, 100) --> (1499,   1), goal index:    10670, cost = 
 index:     9346, ( 147,   4): ( 137, 100) --> (1499,   1), goal index:    10691, cost = 
 index:     9347, ( 147,   4): ( 137, 100) --> (1499,   1), goal index:    10707, cost = 
 index:     9348, ( 147,   4): ( 137, 100) --> (1499,   1), goal index:    10654, cost = 
 index:     9349, ( 147,   4): ( 137, 100) --> (1499,   1), goal index:    10679, cost = 
 index:     9350, ( 147,   4): ( 137, 100) --> (1499,   1), goal index:    10656, cost = 
 index:     9351, ( 147,   4): ( 137, 100) --> (1499,   1), goal index:    10667, cost = 
 index:     9352, ( 147,   4): ( 137, 100) --> (1499,   1), goal index:    10667, cost = 
 index:     9353, ( 147,   4): ( 137, 100) --> (1499,   1), goal index:    10693, cost = 
 index:     9354, ( 147,   4): ( 137, 100) --> (1499,   1), goal index:    10693, cost = 
 index:     9355, ( 147,   4): ( 137, 100) --> (1499,   1), goal index:    10674, cost = 
 index:     9356, ( 147,   4): ( 137, 100) --> (1499,   1), goal index:    10687, cost = 
 index:     9357, ( 147,   4): ( 137, 100) --> (1499,   1), goal index:    10688, cost = 
 index:     9358, ( 147,   4): ( 137, 100) --> (1499,   1), goal index:    10703, cost = 
 index:     9359, ( 148,   4): ( 138, 100) --> (1499,   1), goal index:    10716, cost = 
 index:     9360, ( 148,   4): ( 138, 100) --> (1499,   1), goal index:    10740, cost = 
 index:     9361, ( 148,   4): ( 138, 100) --> (1499,   1), goal index:    10751, cost = 
 index:     9362, ( 148,   4): ( 138, 100) --> (1499,   1), goal index:    10743, cost = 
 index:     9363, ( 148,   4): ( 138, 100) --> (1499,   1), goal index:    10757, cost = 
 index:     9364, ( 148,   4): ( 138, 100) --> (1499,   1), goal index:    10706, cost = 
 index:     9365, ( 148,   4): ( 138, 100) --> (1499,   1), goal index:    10671, cost = 
 index:     9366, ( 148,   4): ( 138, 100) --> (1499,   1), goal index:    10693, cost = 
 index:     9367, ( 148,   4): ( 138, 100) --> (1499,   1), goal index:    10673, cost = 
 index:     9368, ( 148,   4): ( 138, 100) --> (1499,   1), goal index:    10675, cost = 
 index:     9369, ( 148,   4): ( 138, 100) --> (1499,   1), goal index:    10686, cost = 
 index:     9370, ( 148,   4): ( 138, 100) --> (1499,   1), goal index:    10701, cost = 
 index:     9371, ( 148,   4): ( 138, 100) --> (1499,   1), goal index:    10711, cost = 
 index:     9372, ( 148,   4): ( 138, 100) --> (1499,   1), goal index:    10729, cost = 
 index:     9373, ( 148,   4): ( 138, 100) --> (1499,   1), goal index:    10740, cost = 
 index:     9374, ( 148,   4): ( 138, 100) --> (1499,   1), goal index:    10733, cost = 
 index:     9375, ( 148,   4): ( 138, 100) --> (1499,   1), goal index:    10681, cost = 
 index:     9376, ( 148,   4): ( 138, 100) --> (1499,   1), goal index:    10701, cost = 
 index:     9377, ( 148,   4): ( 138, 100) --> (1499,   1), goal index:    10722, cost = 
 index:     9378, ( 148,   4): ( 138, 100) --> (1499,   1), goal index:    10737, cost = 
 index:     9379, ( 148,   4): ( 138, 100) --> (1499,   1), goal index:    10685, cost = 
 index:     9380, ( 148,   4): ( 138, 100) --> (1499,   1), goal index:    10710, cost = 
 index:     9381, ( 148,   4): ( 138, 100) --> (1499,   1), goal index:    10687, cost = 
 index:     9382, ( 148,   4): ( 138, 100) --> (1499,   1), goal index:    10697, cost = 
 index:     9383, ( 148,   4): ( 138, 100) --> (1499,   1), goal index:    10697, cost = 
 index:     9384, ( 148,   4): ( 138, 100) --> (1499,   1), goal index:    10723, cost = 
 index:     9385, ( 148,   4): ( 138, 100) --> (1499,   1), goal index:    10723, cost = 
 index:     9386, ( 148,   4): ( 138, 100) --> (1499,   1), goal index:    10704, cost = 
 index:     9387, ( 148,   4): ( 138, 100) --> (1499,   1), goal index:    10717, cost = 
 index:     9388, ( 148,   4): ( 138, 100) --> (1499,   1), goal index:    10718, cost = 
 index:     9389, ( 148,   4): ( 138, 100) --> (1499,   1), goal index:    10733, cost = 
 index:     9390, ( 148,   4): ( 138, 100) --> (1499,   1), goal index:    10746, cost = 
 index:     9391, ( 148,   4): ( 138, 100) --> (1499,   1), goal index:    10770, cost = 
 index:     9392, ( 148,   4): ( 138, 100) --> (1499,   1), goal index:    10781, cost = 
 index:     9393, ( 148,   4): ( 138, 100) --> (1499,   1), goal index:    10773, cost = 
 index:     9394, ( 148,   4): ( 138, 100) --> (1499,   1), goal index:    10787, cost = 
 index:     9395, ( 148,   4): ( 138, 100) --> (1499,   1), goal index:    10737, cost = 
 index:     9396, ( 148,   4): ( 138, 100) --> (1499,   1), goal index:    10704, cost = 
 index:     9397, ( 148,   4): ( 138, 100) --> (1499,   1), goal index:    10725, cost = 
 index:     9398, ( 148,   4): ( 138, 100) --> (1499,   1), goal index:    10706, cost = 
 index:     9399, ( 148,   4): ( 138, 100) --> (1499,   1), goal index:    10708, cost = 
 index:     9400, ( 148,   4): ( 138, 100) --> (1499,   1), goal index:    10718, cost = 
 index:     9401, ( 148,   4): ( 138, 100) --> (1499,   1), goal index:    10732, cost = 
 index:     9402, ( 148,   4): ( 138, 100) --> (1499,   1), goal index:    10741, cost = 
 index:     9403, ( 148,   4): ( 138, 100) --> (1499,   1), goal index:    10758, cost = 
 index:     9404, ( 148,   4): ( 138, 100) --> (1499,   1), goal index:    10767, cost = 
 index:     9405, ( 148,   4): ( 138, 100) --> (1499,   1), goal index:    10761, cost = 
 index:     9406, ( 148,   4): ( 138, 100) --> (1499,   1), goal index:    10714, cost = 
 index:     9407, ( 148,   4): ( 138, 100) --> (1499,   1), goal index:    10733, cost = 
 index:     9408, ( 148,   4): ( 138, 100) --> (1499,   1), goal index:    10753, cost = 
 index:     9409, ( 148,   4): ( 138, 100) --> (1499,   1), goal index:    10767, cost = 
 index:     9410, ( 148,   4): ( 138, 100) --> (1499,   1), goal index:    10718, cost = 
 index:     9411, ( 148,   4): ( 138, 100) --> (1499,   1), goal index:    10742, cost = 
 index:     9412, ( 148,   4): ( 138, 100) --> (1499,   1), goal index:    10720, cost = 
 index:     9413, ( 148,   4): ( 138, 100) --> (1499,   1), goal index:    10728, cost = 
 index:     9414, ( 148,   4): ( 138, 100) --> (1499,   1), goal index:    10727, cost = 
 index:     9415, ( 148,   4): ( 138, 100) --> (1499,   1), goal index:    10752, cost = 
 index:     9416, ( 148,   4): ( 138, 100) --> (1499,   1), goal index:    10753, cost = 
 index:     9417, ( 148,   4): ( 138, 100) --> (1499,   1), goal index:    10735, cost = 
 index:     9418, ( 148,   4): ( 138, 100) --> (1499,   1), goal index:    10746, cost = 
 index:     9419, ( 148,   4): ( 138, 100) --> (1499,   1), goal index:    10747, cost = 
 index:     9420, ( 148,   4): ( 138, 100) --> (1499,   1), goal index:    10761, cost = 
 index:     9421, ( 148,   4): ( 138, 100) --> (1499,   1), goal index:    10772, cost = 
 index:     9422, ( 148,   4): ( 138, 100) --> (1499,   1), goal index:    10796, cost = 
 index:     9423, ( 148,   4): ( 138, 100) --> (1499,   1), goal index:    10805, cost = 
 index:     9424, ( 148,   4): ( 138, 100) --> (1499,   1), goal index:    10798, cost = 
 index:     9425, ( 148,   4): ( 138, 100) --> (1499,   1), goal index:    10813, cost = 
 index:     9426, ( 149,   4): ( 139, 100) --> (1499,   1), goal index:    10767, cost = 
 index:     9427, ( 149,   4): ( 139, 100) --> (1499,   1), goal index:    10792, cost = 
 index:     9428, ( 149,   4): ( 139, 100) --> (1499,   1), goal index:    10803, cost = 
 index:     9429, ( 149,   4): ( 139, 100) --> (1499,   1), goal index:    10792, cost = 
 index:     9430, ( 149,   4): ( 139, 100) --> (1499,   1), goal index:    10738, cost = 
 index:     9431, ( 149,   4): ( 139, 100) --> (1499,   1), goal index:    10759, cost = 
 index:     9432, ( 149,   4): ( 139, 100) --> (1499,   1), goal index:    10740, cost = 
 index:     9433, ( 149,   4): ( 139, 100) --> (1499,   1), goal index:    10742, cost = 
 index:     9434, ( 149,   4): ( 139, 100) --> (1499,   1), goal index:    10751, cost = 
 index:     9435, ( 149,   4): ( 139, 100) --> (1499,   1), goal index:    10765, cost = 
 index:     9436, ( 149,   4): ( 139, 100) --> (1499,   1), goal index:    10773, cost = 
 index:     9437, ( 149,   4): ( 139, 100) --> (1499,   1), goal index:    10790, cost = 
 index:     9438, ( 149,   4): ( 139, 100) --> (1499,   1), goal index:    10799, cost = 
 index:     9439, ( 149,   4): ( 139, 100) --> (1499,   1), goal index:    10794, cost = 
 index:     9440, ( 149,   4): ( 139, 100) --> (1499,   1), goal index:    10748, cost = 
 index:     9441, ( 149,   4): ( 139, 100) --> (1499,   1), goal index:    10767, cost = 
 index:     9442, ( 149,   4): ( 139, 100) --> (1499,   1), goal index:    10787, cost = 
 index:     9443, ( 149,   4): ( 139, 100) --> (1499,   1), goal index:    10801, cost = 
 index:     9444, ( 149,   4): ( 139, 100) --> (1499,   1), goal index:    10752, cost = 
 index:     9445, ( 149,   4): ( 139, 100) --> (1499,   1), goal index:    10776, cost = 
 index:     9446, ( 149,   4): ( 139, 100) --> (1499,   1), goal index:    10754, cost = 
 index:     9447, ( 149,   4): ( 139, 100) --> (1499,   1), goal index:    10761, cost = 
 index:     9448, ( 149,   4): ( 139, 100) --> (1499,   1), goal index:    10759, cost = 
 index:     9449, ( 149,   4): ( 139, 100) --> (1499,   1), goal index:    10784, cost = 
 index:     9450, ( 149,   4): ( 139, 100) --> (1499,   1), goal index:    10785, cost = 
 index:     9451, ( 149,   4): ( 139, 100) --> (1499,   1), goal index:    10768, cost = 
 index:     9452, ( 149,   4): ( 139, 100) --> (1499,   1), goal index:    10779, cost = 
 index:     9453, ( 149,   4): ( 139, 100) --> (1499,   1), goal index:    10780, cost = 
 index:     9454, ( 149,   4): ( 139, 100) --> (1499,   1), goal index:    10794, cost = 
 index:     9455, ( 149,   4): ( 139, 100) --> (1499,   1), goal index:    10805, cost = 
 index:     9456, ( 149,   4): ( 139, 100) --> (1499,   1), goal index:    10829, cost = 
 index:     9457, ( 149,   4): ( 139, 100) --> (1499,   1), goal index:    10839, cost = 
 index:     9458, ( 149,   4): ( 139, 100) --> (1499,   1), goal index:    10831, cost = 
 index:     9459, ( 149,   4): ( 139, 100) --> (1499,   1), goal index:    10846, cost = 
 index:     9460, ( 149,   4): ( 139, 100) --> (1499,   1), goal index:    10801, cost = 
 index:     9461, ( 149,   4): ( 139, 100) --> (1499,   1), goal index:    10826, cost = 
 index:     9462, ( 149,   4): ( 139, 100) --> (1499,   1), goal index:    10838, cost = 
 index:     9463, ( 149,   4): ( 139, 100) --> (1499,   1), goal index:    10826, cost = 
 index:     9464, ( 149,   4): ( 139, 100) --> (1499,   1), goal index:    10776, cost = 
 index:     9465, ( 149,   4): ( 139, 100) --> (1499,   1), goal index:    10796, cost = 
 index:     9466, ( 149,   4): ( 139, 100) --> (1499,   1), goal index:    10778, cost = 
 index:     9467, ( 149,   4): ( 139, 100) --> (1499,   1), goal index:    10780, cost = 
 index:     9468, ( 149,   4): ( 139, 100) --> (1499,   1), goal index:    10787, cost = 
 index:     9469, ( 149,   4): ( 139, 100) --> (1499,   1), goal index:    10799, cost = 
 index:     9470, ( 149,   4): ( 139, 100) --> (1499,   1), goal index:    10805, cost = 
 index:     9471, ( 149,   4): ( 139, 100) --> (1499,   1), goal index:    10820, cost = 
 index:     9472, ( 149,   4): ( 139, 100) --> (1499,   1), goal index:    10827, cost = 
 index:     9473, ( 149,   4): ( 139, 100) --> (1499,   1), goal index:    10824, cost = 
 index:     9474, ( 149,   4): ( 139, 100) --> (1499,   1), goal index:    10786, cost = 
 index:     9475, ( 149,   4): ( 139, 100) --> (1499,   1), goal index:    10804, cost = 
 index:     9476, ( 149,   4): ( 139, 100) --> (1499,   1), goal index:    10823, cost = 
 index:     9477, ( 149,   4): ( 139, 100) --> (1499,   1), goal index:    10836, cost = 
 index:     9478, ( 149,   4): ( 139, 100) --> (1499,   1), goal index:    10790, cost = 
 index:     9479, ( 149,   4): ( 139, 100) --> (1499,   1), goal index:    10813, cost = 
 index:     9480, ( 149,   4): ( 139, 100) --> (1499,   1), goal index:    10792, cost = 
 index:     9481, ( 149,   4): ( 139, 100) --> (1499,   1), goal index:    10797, cost = 
 index:     9482, ( 149,   4): ( 139, 100) --> (1499,   1), goal index:    10794, cost = 
 index:     9483, ( 149,   4): ( 139, 100) --> (1499,   1), goal index:    10818, cost = 
 index:     9484, ( 149,   4): ( 139, 100) --> (1499,   1), goal index:    10817, cost = 
 index:     9485, ( 149,   4): ( 139, 100) --> (1499,   1), goal index:    10801, cost = 
 index:     9486, ( 149,   4): ( 139, 100) --> (1499,   1), goal index:    10810, cost = 
 index:     9487, ( 149,   4): ( 139, 100) --> (1499,   1), goal index:    10811, cost = 
 index:     9488, ( 149,   4): ( 139, 100) --> (1499,   1), goal index:    10824, cost = 
 index:     9489, ( 149,   4): ( 139, 100) --> (1499,   1), goal index:    10833, cost = 
 index:     9490, ( 149,   4): ( 139, 100) --> (1499,   1), goal index:    10856, cost = 
 index:     9491, ( 149,   4): ( 139, 100) --> (1499,   1), goal index:    10864, cost = 
 index:     9492, ( 149,   4): ( 139, 100) --> (1499,   1), goal index:    10857, cost = 
 index:     9493, ( 149,   4): ( 139, 100) --> (1499,   1), goal index:    10870, cost = 
 index:     9494, ( 149,   4): ( 139, 100) --> (1499,   1), goal index:    10834, cost = 
 index:     9495, ( 149,   4): ( 139, 100) --> (1499,   1), goal index:    10858, cost = 
 index:     9496, ( 149,   4): ( 139, 100) --> (1499,   1), goal index:    10870, cost = 
 index:     9497, ( 150,   4): ( 140, 100) --> (1499,   1), goal index:    10859, cost = 
 index:     9498, ( 152,   4): ( 142, 100) --> (1499,   1), goal index:    10877, cost = 
 index:     9499, ( 152,   4): ( 142, 100) --> (1499,   1), goal index:    10865, cost = 
 index:     9500, ( 152,   4): ( 142, 100) --> (1499,   1), goal index:    10869, cost = 
 index:     9501, ( 150,   4): ( 140, 100) --> (1499,   1), goal index:    10874, cost = 
 index:     9502, ( 150,   4): ( 140, 100) --> (1499,   1), goal index:    10894, cost = 
 index:     9503, ( 150,   4): ( 140, 100) --> (1499,   1), goal index:    10813, cost = 
 index:     9504, ( 150,   4): ( 140, 100) --> (1499,   1), goal index:    10833, cost = 
 index:     9505, ( 150,   4): ( 140, 100) --> (1499,   1), goal index:    10815, cost = 
 index:     9506, ( 150,   4): ( 140, 100) --> (1499,   1), goal index:    10817, cost = 
 index:     9507, ( 150,   4): ( 140, 100) --> (1499,   1), goal index:    10822, cost = 
 index:     9508, ( 150,   4): ( 140, 100) --> (1499,   1), goal index:    10834, cost = 
 index:     9509, ( 150,   4): ( 140, 100) --> (1499,   1), goal index:    10838, cost = 
 index:     9510, ( 150,   4): ( 140, 100) --> (1499,   1), goal index:    10853, cost = 
 index:     9511, ( 150,   4): ( 140, 100) --> (1499,   1), goal index:    10858, cost = 
 index:     9512, ( 150,   4): ( 140, 100) --> (1499,   1), goal index:    10857, cost = 
 index:     9513, ( 150,   4): ( 140, 100) --> (1499,   1), goal index:    10823, cost = 
 index:     9514, ( 150,   4): ( 140, 100) --> (1499,   1), goal index:    10840, cost = 
 index:     9515, ( 150,   4): ( 140, 100) --> (1499,   1), goal index:    10859, cost = 
 index:     9516, ( 150,   4): ( 140, 100) --> (1499,   1), goal index:    10871, cost = 
 index:     9517, ( 150,   4): ( 140, 100) --> (1499,   1), goal index:    10827, cost = 
 index:     9518, ( 150,   4): ( 140, 100) --> (1499,   1), goal index:    10850, cost = 
 index:     9519, ( 150,   4): ( 140, 100) --> (1499,   1), goal index:    10829, cost = 
 index:     9520, ( 150,   4): ( 140, 100) --> (1499,   1), goal index:    10831, cost = 
 index:     9521, ( 150,   4): ( 140, 100) --> (1499,   1), goal index:    10854, cost = 
 index:     9522, ( 150,   4): ( 140, 100) --> (1499,   1), goal index:    10835, cost = 
 index:     9523, ( 150,   4): ( 140, 100) --> (1499,   1), goal index:    10843, cost = 
 index:     9524, ( 150,   4): ( 140, 100) --> (1499,   1), goal index:    10844, cost = 
 index:     9525, ( 150,   4): ( 140, 100) --> (1499,   1), goal index:    10857, cost = 
 index:     9526, ( 150,   4): ( 140, 100) --> (1499,   1), goal index:    10865, cost = 
